Top Gun: Maverick,2022,2023,https://letterboxd.com/film/top-gun-maverick/,4.0,1888857
Triangle of Sadness,2022,2023,https://letterboxd.com/film/triangle-of-sadness/,3.7,824844
Women Talking,2022,2023,https://letterboxd.com/film/women-talking/,3.8,187007
American Fiction,2023,2024,https://letterboxd.com/film/american-fiction/,3.7,518621
Anatomy of a Fall,2023,2024,https://letterboxd.com/film/anatomy-of-a-fall/,4.1,1344108
Barbie,2023,2024,https://letterboxd.com/film/barbie/,3.7,4823589
The Holdovers,2023,2024,https://letterboxd.com/film/the-holdovers/,4.2,1285682
Killers of the Flower Moon,2023,2024,https://letterboxd.com/film/killers-of-the-flower-moon/,4.0,1107918
Maestro,2023,2024,https://letterboxd.com/film/maestro-2023/,3.1,320162
Oppenheimer,2023,2024,https://letterboxd.com/film/oppenheimer-2023/,4.2,3589928
Past Lives,2023,2024,https://letterboxd.com/film/past-lives/,4.2,1534545
Poor Things,2023,2024,https://letterboxd.com/film/poor-things-2023/,4.0,2292315
The Zone of Interest,2023,2024,https://letterboxd.com/film/the-zone-of-interest/,3.9,876935
Anora,2024,2025,https://letterboxd.com/film/anora/,3.8,2119837
The Brutalist,2024,2025,https://letterboxd.com/film/the-brutalist/,3.9,691556
A Complete Unknown,2024,2025,https://letterboxd.com/film/a-complete-unknown/,3.5,933245
Conclave,2024,2025,https://letterboxd.com/film/conclave/,3.9,1708483
Dune: Part Two,2024,2025,https://letterboxd.com/film/dune-part-two/,4.4,2776388
Emilia Pérez,2024,2025,https://letterboxd.com/film/emilia-perez/,2.0,579713
I'm Still Here,2024,2025,https://letterboxd.com/film/im-still-here-2024/,4.3,687079
Nickel Boys,2024,2025,https://letterboxd.com/film/nickel-boys/,4.0,211924
The Substance,2024,2025,https://letterboxd.com/film/the-substance/,3.8,2949568
Wicked,2024,2025,https://letterboxd.com/film/wicked-2024/,3.8,2204176
